mrxlocation,detectivelocation1,detectivelocation2,detectivelocation3,detectivelocation4,detectivelocation5,detective1taxi,detective1bus,detective1train,detective2taxi,detective2bus,detective2train,detective3taxi,detective3bus,detective3train,detective4taxi,detective4bus,detective4train,detective5taxi,detective5bus,detective5train,mrxtaxi,mrxbus,mrxtrain,mrxdouble,mrxsecret,turnsleft,newmrxlocation
36,13,23,25,22,65,6,5,1,3,5,4,9,3,0,8,1,3,4,4,4,17,25,11,0,4,11,49
49,38,65,67,37,35,8,3,0,8,0,3,6,5,0,2,5,4,3,4,4,19,26,12,0,4,10,66
71,155,141,29,50,138,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,140
140,124,41,133,156,38,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,8,3,2,1,5,22,185
185,51,140,52,111,184,9,8,4,10,7,4,10,7,4,10,7,4,10,7,4,9,7,1,0,4,20,170
170,69,156,67,163,154,9,7,4,10,6,4,8,8,4,10,7,3,10,6,4,10,9,2,0,4,19,185
185,191,111,157,153,86,10,6,3,8,8,3,9,6,4,10,5,4,8,7,4,11,11,3,0,4,18,186
186,156,112,140,179,104,8,6,4,7,8,3,10,5,3,9,6,3,7,7,4,14,11,4,0,4,17,185
185,116,165,156,111,184,6,7,4,8,6,3,10,4,3,6,8,3,8,5,4,16,13,4,0,4,16,187
187,180,142,157,67,153,8,5,3,6,6,4,10,3,3,6,8,2,8,4,4,16,17,5,0,3,15,188
188,154,89,143,184,185,7,4,4,6,8,1,5,6,4,8,4,3,10,2,3,17,19,6,0,3,14,173
173,185,128,105,140,142,8,3,3,10,2,2,6,7,1,7,3,4,4,6,4,17,22,7,0,3,13,174
174,107,133,158,187,186,6,6,1,6,3,4,3,6,4,10,1,2,7,3,3,19,24,7,0,3,12,173
173,141,142,198,128,161,5,3,4,2,6,4,6,3,3,10,0,2,6,5,1,21,26,7,0,3,11,171
171,142,134,199,160,188,4,3,4,1,6,4,5,3,3,5,5,1,9,0,2,25,26,7,0,3,10,175
175,199,142,129,173,161,8,0,2,0,6,4,3,3,4,4,5,1,5,2,3,28,27,7,0,3,9,162
162,116,135,174,171,188,0,5,4,2,3,4,4,2,3,7,0,2,3,5,1,31,28,7,0,3,8,136
170,53,91,155,103,123,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,133
133,124,86,156,107,54,11,7,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,82
82,70,106,116,111,140,9,8,4,9,8,4,10,7,4,11,6,4,9,8,4,10,4,3,0,4,20,81
81,124,105,127,71,133,10,6,4,8,8,4,10,6,4,8,8,4,8,8,4,13,5,3,0,4,19,64
64,55,157,89,153,102,7,8,4,8,7,4,8,7,4,10,5,4,10,5,4,13,9,3,0,4,18,63
63,185,115,89,140,166,8,6,4,9,5,4,7,7,4,8,7,3,9,5,4,14,11,4,0,4,17,80
80,183,114,67,153,133,8,5,4,8,5,4,7,7,3,8,6,3,8,6,3,15,12,6,0,4,16,63
63,167,111,115,157,82,7,5,4,8,6,2,7,5,4,8,5,3,7,6,3,16,14,7,0,4,15,48
48,185,102,101,153,100,8,4,3,6,5,4,6,6,3,6,5,4,8,5,2,18,16,7,0,4,14,35
35,184,140,114,80,67,7,4,3,6,5,3,5,6,3,7,5,2,6,4,4,20,17,8,0,4,13,36
36,89,101,100,153,82,6,5,2,4,6,3,6,5,2,7,3,3,6,3,4,21,19,9,0,4,12,49
49,139,63,82,67,13,6,3,3,6,4,2,3,6,3,6,2,4,6,5,1,22,21,10,0,4,11,50
50,130,65,48,24,66,5,3,3,6,1,4,5,4,2,5,5,1,2,6,3,25,22,10,0,4,10,38
38,63,139,35,37,49,6,0,4,4,3,3,4,4,2,4,5,1,1,6,3,28,23,10,0,4,9,51
51,140,50,65,24,79,3,3,3,0,6,3,3,4,2,3,5,1,5,0,4,32,23,10,0,4,8,52
52,82,67,38,133,50,3,3,2,5,0,3,2,5,1,2,3,3,0,6,3,33,24,11,0,4,7,69
69,140,100,24,51,50,2,2,3,3,2,2,1,5,1,4,0,3,0,6,3,34,26,11,0,4,6,53
53,81,89,37,68,50,2,2,2,2,2,2,0,5,1,3,0,3,0,6,3,36,26,12,0,4,5,54
54,69,71,64,37,50,2,0,3,1,2,2,1,2,2,0,5,1,0,6,3,38,26,12,0,4,4,41
41,65,55,86,37,50,0,2,2,0,2,2,1,0,3,0,5,1,0,6,3,40,26,12,0,4,3,15
15,104,29,67,37,50,0,0,3,0,1,2,0,1,2,0,5,1,0,6,3,41,27,12,0,4,2,26
26,15,111,104,37,50,0,0,2,0,1,1,0,0,3,0,5,1,0,6,3,41,28,13,0,3,1,27
45,112,50,29,117,53,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,59
59,37,108,55,54,111,10,8,4,10,8,4,11,7,4,10,8,4,10,8,4,7,4,3,2,5,23,76
76,153,105,24,53,71,10,8,3,9,8,4,9,8,4,9,8,4,10,7,4,10,4,4,2,5,22,61
61,55,40,13,89,163,9,7,4,8,8,4,8,8,4,9,7,4,10,8,2,11,5,5,1,5,20,48
48,111,41,89,67,52,10,8,1,7,8,4,9,6,4,9,7,3,8,7,4,10,7,7,0,5,18,35
35,55,15,13,112,65,9,5,4,7,7,4,8,6,4,9,8,1,9,6,3,10,11,7,0,5,17,48
48,100,14,89,23,63,8,8,1,7,6,4,9,4,4,8,5,4,9,5,3,10,15,7,0,5,16,35
35,37,67,13,63,34,7,5,4,9,4,3,7,5,4,8,7,1,9,4,3,10,18,8,0,5,15,65
104,141,94,29,91,26,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,127
127,39,105,55,93,133,10,8,4,10,8,4,11,7,4,10,8,4,10,8,4,7,3,3,1,5,22,102
102,79,140,89,108,26,10,8,3,9,8,4,11,6,4,9,8,4,9,8,4,9,4,4,0,4,20,127
127,39,140,156,67,116,8,8,4,11,6,3,9,7,4,10,8,2,9,7,4,10,5,6,0,4,19,115
115,86,102,184,89,52,9,6,4,10,7,2,9,6,4,11,6,2,7,8,4,11,8,7,0,3,18,114
114,86,156,127,116,140,7,7,4,9,5,4,10,6,2,9,5,4,11,6,1,11,12,8,0,2,17,131
131,86,103,184,102,82,9,4,4,6,7,4,9,4,4,10,5,2,11,5,1,11,16,8,0,2,16,130
130,81,153,86,102,67,10,5,1,9,3,4,5,7,4,9,3,4,10,4,2,12,19,8,0,2,15,131
131,89,102,140,127,82,10,4,1,5,6,4,9,3,3,9,2,4,9,5,1,12,21,10,0,2,14,130
130,102,83,140,100,153,9,1,4,4,6,4,10,4,0,9,4,1,9,3,2,12,23,12,0,2,13,131
131,112,139,102,132,67,8,4,1,8,3,2,3,6,4,9,4,0,9,0,4,15,24,12,0,2,12,130
51,138,53,26,50,141,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,66
66,39,69,142,124,49,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,82
82,36,111,143,52,68,9,8,4,10,7,4,9,8,4,9,8,4,9,8,4,10,4,3,0,4,20,101
101,142,67,37,124,39,8,8,4,8,8,4,8,8,4,9,7,4,8,8,4,14,4,3,0,4,19,83
83,111,24,52,128,79,8,7,4,7,8,4,7,8,4,7,8,4,8,8,3,17,4,4,0,4,18,102
102,63,199,67,13,112,8,7,3,7,7,4,7,7,4,6,8,4,7,7,4,18,7,4,0,4,17,127
127,125,89,161,65,100,6,7,4,6,8,3,7,6,4,7,6,4,8,6,3,19,9,5,0,4,16,116
116,113,82,67,88,135,5,7,4,8,5,3,7,5,4,5,8,3,7,5,4,21,11,5,0,4,15,86
86,101,66,100,87,108,7,5,3,6,5,4,4,7,4,4,8,3,7,4,4,25,11,5,0,4,14,69
69,105,111,41,82,114,7,3,4,4,6,4,4,7,3,5,5,4,6,5,3,26,14,5,0,4,13,53
53,163,52,126,89,67,4,6,3,4,6,3,5,5,3,7,2,4,5,4,4,26,17,6,0,4,12,54
54,127,89,153,88,41,4,5,3,5,4,3,4,6,2,6,2,4,4,5,3,27,18,8,0,4,11,53
53,89,87,115,111,55,5,2,4,4,4,3,3,5,3,4,6,1,5,3,3,28,20,9,0,4,10,69
69,29,67,127,41,71,5,2,3,4,6,0,2,5,3,4,3,3,4,2,4,29,22,10,0,4,9,53
53,115,52,40,55,70,1,5,3,4,5,0,3,3,3,5,1,3,3,2,4,31,24,10,0,4,8,69
69,54,52,71,41,127,4,1,3,2,3,3,2,2,4,4,4,0,0,5,3,34,25,10,0,4,7,68
68,52,102,89,53,51,4,3,0,0,4,3,1,2,4,3,1,3,1,3,3,36,27,10,0,4,6,85
85,13,86,52,69,67,1,2,3,0,3,3,0,3,3,2,1,3,4,2,0,37,29,11,0,4,5,103
103,102,13,67,68,84,0,2,3,0,2,3,1,2,2,1,1,3,3,2,0,38,31,12,0,4,4,85
172,29,50,138,94,112,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,172
172,99,93,152,38,41,10,8,4,11,7,4,10,8,4,10,8,4,11,7,4,5,5,3,1,5,22,185
185,51,153,79,112,87,9,8,4,9,8,4,11,7,3,9,8,4,11,6,4,7,6,3,0,5,20,170
170,111,63,86,67,139,8,8,4,10,7,3,11,5,4,8,8,4,8,8,4,11,7,3,0,4,19,185
185,130,116,23,163,80,7,8,4,11,4,4,8,7,4,8,8,3,9,7,3,12,9,4,0,4,18,157
157,100,13,108,139,153,8,7,3,8,6,4,11,3,4,6,8,4,8,8,2,14,10,5,0,4,17,156
156,119,89,80,140,180,10,3,4,8,6,3,7,7,3,5,8,4,8,7,2,17,10,6,0,4,16,157
157,55,99,108,184,154,8,5,3,6,7,3,9,3,4,8,6,2,5,7,4,19,12,6,0,4,15,194
194,98,117,156,89,153,5,7,3,8,3,4,8,5,2,8,4,3,4,7,4,22,14,6,0,3,14,193
193,110,154,157,129,128,4,7,3,4,6,4,8,4,2,7,3,4,8,4,2,24,16,7,0,2,13,181
181,135,109,172,142,139,6,3,4,3,7,3,7,4,2,8,3,2,3,6,4,27,17,7,0,2,12,182
182,128,157,161,97,140,6,4,2,8,2,2,5,3,4,2,7,3,2,6,4,30,18,7,0,2,11,181
181,153,128,142,156,109,2,6,3,5,2,4,5,4,2,8,1,2,1,7,3,31,20,8,0,2,10,193
193,169,157,124,185,167,7,1,2,5,3,2,0,7,3,5,2,3,1,6,3,33,21,9,0,2,9,194
194,153,170,123,184,183,5,2,2,4,3,2,0,6,3,6,1,2,0,6,3,35,22,10,0,2,8,192
192,185,165,197,180,183,3,3,2,0,5,3,5,1,2,5,1,2,0,6,3,36,24,10,0,2,7,194
194,191,193,195,157,183,0,4,3,4,1,2,4,1,2,3,2,2,0,6,3,37,26,10,0,2,6,192
192,190,181,156,194,183,0,3,3,3,1,2,3,1,2,3,1,2,0,6,3,38,28,10,0,2,5,191
35,53,117,91,50,155,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,66
66,154,105,37,88,69,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,100
100,89,23,87,140,52,9,8,4,9,8,4,10,7,4,10,7,4,9,8,4,9,4,3,0,5,20,113
113,67,86,82,128,51,9,7,4,10,6,4,10,6,4,9,8,3,8,8,4,9,7,4,0,5,19,114
114,39,161,140,52,111,7,8,4,9,7,3,10,5,4,10,5,4,9,7,3,9,10,5,0,5,18,115
115,128,52,13,82,100,9,6,3,6,8,4,10,4,4,10,4,4,9,6,3,9,14,5,0,5,17,114
114,65,41,140,113,89,9,4,4,6,7,4,9,6,2,8,6,3,10,4,3,10,15,7,0,5,16,131
131,125,40,67,105,126,7,6,3,5,7,4,9,3,4,9,4,3,8,6,2,13,16,7,0,5,15,130
130,89,52,112,102,114,8,4,3,4,7,4,6,6,3,9,2,4,7,6,2,16,17,7,0,5,14,124
124,13,67,51,131,99,8,4,2,9,1,4,3,7,4,6,6,2,5,6,3,18,18,8,0,5,13,109
109,114,67,110,89,111,5,6,2,2,7,4,4,6,3,8,4,1,9,1,3,20,18,10,0,5,12,96
96,113,71,111,109,124,4,6,2,7,4,1,2,7,3,3,6,3,8,1,3,23,18,11,0,5,11,77
104,174,50,94,112,123,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,116
116,37,111,161,122,77,10,8,4,10,8,4,10,8,4,11,7,4,11,7,4,6,5,3,2,5,23,143
143,124,144,174,24,79,11,6,4,11,6,4,9,8,4,9,8,4,10,8,3,7,6,4,1,5,21,158
158,67,13,161,111,123,10,8,2,8,8,4,8,8,4,11,5,4,11,5,4,8,8,5,0,4,19,159
159,124,153,89,135,51,11,4,4,11,5,3,8,8,3,7,8,4,9,8,2,9,9,7,0,4,18,186
186,52,108,55,153,154,8,8,2,7,7,4,8,7,3,11,3,4,11,4,3,9,13,7,0,4,17,198
198,139,185,71,116,86,10,4,3,11,3,3,7,7,3,7,6,4,8,7,2,10,15,8,0,4,16,199
199,116,142,89,140,186,8,6,2,7,5,4,6,7,3,9,4,3,10,3,3,12,17,8,0,4,15,171
171,133,128,108,185,157,8,4,3,6,7,2,8,5,2,9,3,3,7,4,4,13,19,9,0,4,14,175
175,170,161,119,186,141,6,4,4,6,6,2,7,5,2,8,3,3,7,4,3,16,20,9,0,4,13,171
171,158,107,198,185,160,6,4,3,6,5,2,7,3,3,5,4,4,5,6,2,20,20,9,0,4,12,175
175,173,187,199,142,119,4,6,2,5,3,4,6,3,3,5,4,3,5,5,2,23,21,9,0,4,11,162
162,198,128,161,174,136,4,3,4,5,3,3,6,2,3,3,6,2,4,5,2,25,23,9,0,4,10,175
104,123,50,53,103,26,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,127
127,37,85,27,69,124,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,140
140,23,68,52,40,153,9,8,4,9,8,4,9,8,4,9,8,4,10,7,4,9,4,3,0,5,20,156
156,167,52,86,67,13,9,7,4,8,8,4,9,7,4,8,8,4,9,7,4,11,6,3,0,5,19,184
184,67,168,4,23,116,8,7,4,8,7,4,8,7,4,8,7,4,9,6,4,13,8,3,0,5,18,197
197,67,13,142,155,102,8,6,4,7,7,4,9,5,4,7,7,4,8,6,4,14,11,3,0,5,17,195
195,141,127,156,67,111,8,5,4,8,5,4,6,7,4,7,7,3,8,6,3,15,12,5,0,5,16,182
182,133,111,134,153,157,7,5,4,7,7,2,7,5,4,8,6,2,5,7,4,17,12,7,0,5,15,181
181,133,142,153,140,180,5,6,4,6,5,4,7,7,1,7,4,4,8,5,2,17,15,8,0,5,14,182
182,128,157,140,156,184,6,4,4,5,5,4,7,7,0,7,3,4,8,4,2,16,19,9,0,5,13,195
195,185,133,180,155,89,5,4,4,6,7,0,8,3,2,6,3,4,6,4,3,17,21,10,0,5,12,182
182,140,128,167,170,193,6,6,0,6,4,2,5,3,4,4,4,4,7,3,2,19,22,11,0,5,11,195
195,139,142,181,157,183,5,6,0,5,4,2,6,3,2,3,4,4,4,3,4,23,22,11,0,5,10,194
194,157,156,182,154,196,5,3,2,3,3,4,5,3,2,4,6,0,3,3,4,25,24,11,0,5,9,192
192,139,140,185,195,184,3,6,0,3,2,4,5,2,2,4,3,2,2,3,4,28,26,11,0,4,8,190
190,156,184,180,194,153,2,2,4,4,2,2,2,2,4,3,3,2,2,6,0,31,27,11,0,4,7,191
191,154,153,192,180,165,2,1,4,4,1,2,2,3,2,2,5,0,2,1,4,31,31,11,0,4,6,178
178,153,165,190,163,179,2,0,4,2,4,0,1,3,2,4,1,1,1,1,4,33,33,12,0,3,5,189
71,123,26,50,174,103,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,67
67,49,175,102,39,124,10,8,4,10,8,4,10,8,4,10,8,4,11,7,4,7,4,2,1,5,22,38
38,174,123,86,66,52,9,8,4,11,6,4,10,7,4,9,8,4,9,8,4,8,6,2,0,5,20,50
50,69,161,124,67,51,9,7,4,8,8,4,11,5,4,8,8,4,8,8,4,11,7,2,0,5,19,49
49,130,107,68,39,52,10,5,4,8,7,4,7,8,4,7,8,4,8,7,4,14,8,2,0,5,18,50
50,67,26,105,139,51,6,8,4,6,8,4,8,6,4,9,5,4,7,7,4,17,9,2,0,5,17,49
49,154,38,89,39,13,8,5,4,6,7,4,8,5,4,5,8,4,6,8,3,19,10,3,0,5,16,36
36,67,14,52,140,50,8,5,3,6,7,3,4,8,4,8,4,4,5,7,4,20,12,4,0,5,15,35
35,82,40,15,49,65,8,3,4,3,8,4,5,7,3,4,7,4,8,4,3,22,14,4,0,5,14,48
48,52,36,63,26,67,2,8,4,3,7,4,8,3,3,4,7,3,8,2,4,24,16,4,0,5,13,62
62,15,13,41,34,49,3,7,3,8,2,3,2,7,4,8,2,3,2,7,4,25,18,5,0,5,12,79
79,52,67,14,66,47,2,6,4,8,2,2,3,6,3,1,7,4,7,2,3,26,20,6,0,5,11,78
78,13,34,67,111,82,3,5,3,6,2,3,2,5,4,8,2,1,0,7,4,28,21,7,0,5,10,77
77,63,100,46,79,153,6,1,3,0,6,4,3,5,2,2,5,3,8,2,0,28,23,10,0,4,9,94
94,82,58,79,78,124,0,5,4,3,4,2,5,1,3,1,5,3,8,1,0,30,26,10,0,3,8,95
95,77,65,98,59,111,0,5,3,0,4,4,4,1,3,2,4,2,8,0,0,33,28,10,0,2,7,122
122,97,67,45,112,124,3,1,3,0,3,4,1,4,2,7,0,0,0,4,3,35,30,10,0,2,6,146
146,89,111,78,58,123,0,3,3,6,0,0,2,1,3,0,4,2,0,3,3,37,31,11,0,2,5,147
147,110,124,46,77,140,5,0,0,0,2,3,0,3,2,2,0,3,0,3,2,37,34,12,0,2,4,164
164,78,153,111,123,95,0,2,2,0,3,1,4,0,0,0,1,3,1,0,3,38,36,13,0,2,3,178
178,110,77,124,163,94,3,0,0,0,1,2,0,0,3,0,3,0,0,0,3,39,38,14,0,2,2,164
164,109,58,144,124,94,2,0,0,0,0,2,0,2,0,0,0,3,0,0,3,39,40,14,0,2,1,148
170,155,117,29,138,141,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,159
159,124,55,88,142,167,10,8,4,11,7,4,10,8,4,10,8,4,10,8,4,7,4,3,2,5,23,172
172,117,128,168,89,123,9,8,4,10,7,4,9,8,4,11,6,4,9,8,4,9,6,3,2,5,22,159
159,71,122,184,108,142,10,6,4,8,8,4,8,8,4,8,8,4,10,6,4,12,7,3,2,5,21,170
170,135,144,168,89,157,8,7,4,8,7,4,7,8,4,9,6,4,10,5,4,13,10,3,2,5,20,159
159,140,163,184,128,156,9,6,3,8,6,4,6,8,4,8,6,4,10,4,4,13,13,4,2,5,19,141
141,157,185,153,128,142,9,4,4,5,8,4,8,6,3,9,6,2,7,6,4,14,13,6,1,5,17,127
127,199,140,157,133,118,9,5,2,8,6,2,5,7,4,9,3,4,6,6,4,13,16,7,0,5,15,102
102,133,128,127,116,82,5,6,4,9,4,2,8,3,4,5,6,4,8,5,2,15,18,7,0,5,14,103
103,127,89,86,66,115,5,5,4,9,4,1,5,5,4,7,5,2,7,3,4,16,20,8,0,5,13,85
85,116,127,67,102,82,5,4,4,6,3,4,9,4,0,5,4,4,6,5,2,17,22,9,0,5,12,68
35,29,91,141,123,117,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,64
64,124,129,134,105,41,11,7,4,10,8,4,10,8,4,10,8,4,11,7,4,5,5,3,1,5,22,65
65,89,127,87,111,143,10,7,4,9,8,4,11,6,4,10,7,4,9,8,4,7,7,3,1,5,21,101
101,135,86,102,13,79,8,8,4,11,5,4,9,7,4,10,7,3,10,7,3,7,8,5,0,5,19,114
114,67,103,161,52,111,9,6,4,10,5,4,7,8,4,10,6,3,10,7,2,8,10,6,0,5,18,132
132,128,102,40,51,110,7,7,4,9,5,4,9,6,3,8,6,4,9,7,2,11,11,6,0,5,17,114
114,67,52,99,140,127,7,6,4,8,6,3,8,7,2,7,7,3,9,4,4,13,12,7,0,5,16,131
131,80,51,132,82,115,7,7,2,7,6,3,6,7,3,7,5,4,8,4,4,16,13,7,0,5,15,130
130,140,68,114,127,100,7,4,4,6,6,3,5,7,3,7,4,4,6,7,2,19,14,7,0,5,14,124
124,132,67,131,102,113,6,4,4,5,6,3,4,7,3,7,3,4,5,7,2,22,15,7,0,5,13,109
109,140,114,100,111,83,5,4,4,3,7,3,4,7,2,5,6,2,6,3,4,26,15,8,0,4,12,97
97,101,111,131,79,153,5,3,4,4,6,2,2,7,3,5,6,1,5,4,3,27,16,10,0,4,11,109
109,82,130,110,124,98,4,3,4,1,7,3,3,6,2,5,3,3,4,6,1,30,17,10,0,4,10,96
96,124,109,100,111,79,0,7,3,4,3,3,4,2,4,2,6,2,3,6,1,33,18,10,0,4,9,97
97,77,82,96,79,78,0,6,3,4,1,4,3,3,3,2,6,1,3,5,1,33,21,11,0,4,8,98
98,77,79,100,124,46,2,3,3,3,4,1,4,0,4,0,5,3,2,6,0,33,24,12,0,4,7,99
99,78,111,112,98,34,2,2,3,0,4,3,3,0,4,2,4,1,2,5,0,34,27,12,0,4,6,80
170,91,103,112,123,155,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,159
159,100,85,105,137,167,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,8,3,3,2,5,23,186
186,153,123,103,106,63,9,8,4,9,8,4,9,8,4,9,8,4,10,7,4,11,4,3,2,5,22,157
157,100,107,86,124,140,10,6,4,8,8,4,8,8,4,8,8,4,9,8,3,13,4,4,1,5,20,127
127,133,153,161,82,116,9,7,3,8,7,4,8,7,4,10,5,4,8,7,4,12,8,4,0,5,18,126
126,101,142,184,140,160,9,5,4,8,6,4,8,6,4,8,7,3,7,7,4,14,10,4,0,5,17,127
127,153,128,118,114,133,8,5,4,6,7,4,7,6,4,8,5,4,8,6,3,16,12,4,0,5,16,102
102,89,124,141,115,134,6,7,3,8,4,4,7,6,3,7,5,4,6,6,4,19,13,5,0,4,15,83
83,127,105,118,142,109,6,5,4,6,6,3,5,6,4,6,6,3,7,4,4,23,14,5,0,3,14,101
101,129,128,97,87,116,4,6,4,6,5,3,6,4,4,6,5,3,6,4,4,24,17,5,0,3,13,82
82,86,89,96,143,127,6,4,3,6,5,2,5,4,4,3,6,4,5,4,4,26,18,6,0,3,12,66
66,102,77,128,140,52,5,3,4,4,4,4,2,6,4,6,5,1,6,3,3,27,20,7,0,3,11,49
49,89,86,67,124,82,2,6,3,5,2,4,6,2,3,4,3,4,6,4,1,26,24,8,0,3,10,50
50,52,111,67,51,66,5,1,4,4,2,4,2,6,2,5,2,3,5,4,1,27,26,9,0,3,9,37
37,67,79,82,13,38,4,2,3,2,6,1,4,4,1,5,0,4,4,2,3,28,27,11,0,3,8,36
36,66,63,23,50,65,3,4,1,2,5,1,4,0,4,3,2,3,4,1,3,30,29,11,0,3,7,35
51,123,50,91,155,29,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,67
67,15,154,124,49,107,11,7,4,10,8,4,10,8,4,10,8,4,10,8,4,7,3,3,1,5,22,112
112,36,105,140,14,111,9,8,4,10,7,4,9,8,4,11,6,4,9,8,4,10,5,2,0,4,20,125
125,37,13,89,112,154,8,8,4,11,5,4,9,7,4,8,8,4,9,7,4,12,7,2,0,4,19,113
113,140,13,4,50,125,9,6,4,9,7,3,10,5,4,7,8,4,7,8,4,14,8,3,0,4,18,114
114,38,112,67,3,126,6,8,4,6,8,4,9,7,2,9,5,4,8,6,4,17,8,4,0,4,17,131
131,22,51,111,115,102,9,4,4,5,8,4,5,8,4,7,6,4,9,6,2,19,10,4,0,4,16,130
130,103,52,34,79,114,8,6,2,4,8,4,8,4,4,5,8,3,6,6,4,22,10,5,0,4,15,124
124,102,46,111,67,115,7,6,2,8,3,4,5,8,2,4,7,4,5,6,4,23,12,6,0,4,14,77
77,111,83,127,78,153,4,7,3,6,6,2,4,6,4,8,2,4,5,8,1,25,12,8,0,4,13,76
76,97,133,101,124,79,7,2,4,4,5,4,5,6,2,5,7,1,4,7,2,26,14,9,0,4,12,60
60,83,140,77,78,46,4,6,2,4,4,4,5,6,1,6,2,4,4,7,1,27,16,10,0,4,11,45
172,155,174,117,29,141,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,159
159,158,161,154,42,129,10,8,4,10,8,4,10,8,4,11,7,4,10,8,4,7,4,3,2,5,23,186
186,117,29,142,174,156,9,8,4,11,6,4,9,8,4,9,8,4,10,7,4,9,6,3,2,5,22,198
198,129,161,55,157,141,8,8,4,8,8,4,11,5,4,9,7,4,8,8,4,12,7,3,2,5,21,186
186,89,143,128,158,185,11,4,4,7,8,4,8,7,4,7,8,4,9,6,4,13,10,3,2,5,20,198
198,135,128,186,140,159,6,8,4,11,4,3,8,6,4,8,7,3,6,8,4,15,10,5,2,5,19,171
171,188,159,170,156,161,10,4,3,7,6,4,5,8,4,8,6,3,6,7,4,16,12,5,1,5,17,175
175,169,185,172,199,135,7,6,3,4,8,4,6,6,4,9,4,3,5,7,4,20,12,5,1,5,16,162
162,156,157,128,129,171,6,6,3,4,7,4,5,6,4,4,7,4,8,4,3,23,13,5,1,5,15,136
136,135,142,140,161,175,3,7,4,4,6,4,5,6,3,5,5,4,7,4,3,25,15,5,1,5,14,119
119,89,116,161,160,162,5,6,2,4,5,4,2,7,4,4,5,4,6,4,3,27,16,6,1,5,13,119
45,53,155,138,123,29,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,79
79,15,124,152,154,54,11,7,4,11,7,4,10,8,4,10,8,4,10,8,4,6,5,2,1,5,22,112
112,139,55,151,153,14,9,8,4,9,8,4,9,8,4,11,6,4,11,6,4,9,7,1,0,4,20,125
125,15,152,124,89,140,10,6,4,8,8,4,11,5,4,9,7,4,8,8,4,11,9,1,0,4,19,113
113,140,153,14,154,111,9,7,3,7,8,4,9,6,4,8,7,4,11,4,4,12,11,2,0,4,18,114
114,140,153,13,124,82,7,7,4,11,4,3,9,5,4,7,7,4,9,6,3,12,14,3,0,4,17,115
115,130,101,67,185,133,6,7,4,8,6,3,9,5,3,11,4,2,7,6,4,13,15,5,0,4,16,108
108,128,114,102,157,139,11,4,1,7,6,3,9,4,3,7,5,4,5,7,4,15,17,6,0,3,15,116
116,103,132,140,185,133,8,4,3,6,6,3,4,7,4,11,4,0,7,4,4,18,18,7,0,2,14,117
117,140,89,114,157,86,6,4,4,4,7,3,5,6,3,11,3,0,7,4,3,21,19,8,0,1,13,108
108,115,104,105,128,158,4,6,3,6,4,3,4,6,3,6,4,3,10,3,0,23,20,9,0,1,12,117
117,116,102,142,87,135,5,4,3,3,6,3,9,3,0,4,5,3,6,3,3,25,22,9,0,1,11,88
106,138,155,91,174,103,11,8,4,11,8,4,11,8,4,11,8,4,11,8,4,4,3,3,2,5,24,108
108,56,161,124,154,86,10,8,4,10,8,4,10,8,4,10,8,4,10,8,4,8,2,3,1,5,22,127
127,111,107,153,91,102,9,8,4,10,7,4,10,7,4,9,8,4,10,7,4,10,3,3,0,5,20,126
126,115,105,185,161,67,9,7,4,8,8,4,10,7,3,10,6,4,9,8,3,12,4,5,0,4,19,140
140,82,127,128,199,108,9,7,3,8,7,4,10,7,2,10,5,4,8,7,4,12,7,6,0,4,18,139
139,188,185,101,133,119,9,5,4,10,7,1,8,7,3,8,6,4,7,7,4,15,8,7,0,3,17,130
130,108,140,187,114,153,6,7,4,8,5,4,8,5,4,7,7,3,10,7,0,17,9,8,0,3,16,124
